,sentID.BTEC,split,lang,sent,sent_kuwaiti_GPT_Translated,sent_kuwaiti,Type (B/H),Translator Initials,sent_kuwaiti_punctuation_removed,sent_punctuation_removed,sent_kuwaiti_punctuation_removed_and_tashkeel,sent_punctuation_removed_and_tashkeel,sent_kuwaiti_punctuation_removed_and_tashkeel_and_normlaized,sent_punctuation_removed_and_tashkeel_and_normlaized
13,24,corpus-6-train,MSA,من فضلك افتح فمك على مداه .,لو سمحت افتح حلجك على الآخر.,لو سمحت افتح حلجك على الآخر.,H,H,لو سمحت افتح حلجك على الآخر,من فضلك افتح فمك على مداه ,لو سمحت افتح حلجك على الآخر,من فضلك افتح فمك على مداه ,لو سمحت افتح حلجك علا الاخر,من فضلك افتح فمك علا مداه 
14,26,corpus-6-test-corpus-26-train,MSA,كم تكلفة الإفطار ؟,بكم الفطور؟,بجم الريوق؟,H,H,بجم الريوق,كم تكلفة الإفطار ,بجم الريوق,كم تكلفة الإفطار ,بجم الريوق,كم تكلفه الافطار 
15,27,corpus-6-test-corpus-26-train,MSA,كيف أستطيع مساعدتك ؟,شلون أقدر أساعدك؟,شلون أقدر أساعدك؟,H,H,شلون أقدر أساعدك,كيف أستطيع مساعدتك ,شلون أقدر أساعدك,كيف أستطيع مساعدتك ,شلون اقدر اساعدك,كيف استطيع مساعدتك 
16,29,corpus-6-train,MSA,دعنا نأخذ قطعة لنأكلها .,يلا ناخذ قطعة عشان ناكلها.,خل ناخذ قطعة عشان ناكلها.,H,H,خل ناخذ قطعة عشان ناكلها,دعنا نأخذ قطعة لنأكلها ,خل ناخذ قطعة عشان ناكلها,دعنا نأخذ قطعة لنأكلها ,خل ناخذ قطعه عشان ناكلها,دعنا ناخذ قطعه لناكلها 
17,30,corpus-6-test-corpus-26-train,MSA,اتجه يسارا عند الناصية الثالثة .,خذ يساك عند الناصية الثالثة.,خذ يسارك عند اللفه الثالثة.,H,H,خذ يسارك عند اللفه الثالثة,اتجه يسارا عند الناصية الثالثة ,خذ يسارك عند اللفه الثالثة,اتجه يسارا عند الناصية الثالثة ,خذ يسارك عند اللفه الثالثه,اتجه يسارا عند الناصيه الثالثه 
18,31,corpus-6-train,MSA,هل لك أن تقوم بتنظيف هذه الملابس ؟,تقدر تنظف هالملابس؟,تقدر تنظف هالملابس؟,H,H,تقدر تنظف هالملابس,هل لك أن تقوم بتنظيف هذه الملابس ,تقدر تنظف هالملابس,هل لك أن تقوم بتنظيف هذه الملابس ,تقدر تنظف هالملابس,هل لك ان تقوم بتنظيف هذه الملابس 
19,37,corpus-6-dev,MSA,أعطيك رقم تليفونه وعنوانه .,أعطيك رقمه وعنوانه.,أعطيك رقمه وعنوانه.,H,H,أعطيك رقمه وعنوانه,أعطيك رقم تليفونه وعنوانه ,أعطيك رقمه وعنوانه,أعطيك رقم تليفونه وعنوانه ,اعطيك رقمه وعنوانه,اعطيك رقم تليفونه وعنوانه 
20,38,corpus-6-train,MSA,لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماًً .,أنا دفعت قيمة الوجبات ورسوم الفندق مقدماً.,أنا دفعت قيمة الوجبات ورسوم الفندق مقدماً.,H,H,أنا دفعت قيمة الوجبات ورسوم الفندق مقدما,لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدما ,أنا دفعت قيمة الوجبات ورسوم الفندق مقدما,لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدما ,انا دفعت قيمه الوجبات ورسوم الفندق مقدما,لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدما 
21,40,corpus-6-train,MSA,أبحث عن مطعم جيد ، للمشويات . هل يمكنك أن تشير إلى أماكن تلك المطاعم على الخريطة ؟,أدور على مطعم زين حق المشاوي. تقدر تدلني على أماكن هالمطاعم على الخريطة؟,أدور على مطعم زين حق المشاوي. تقدر تدلني على أماكن هالمطاعم على الخريطة؟,H,H,أدور على مطعم زين حق المشاوي تقدر تدلني على أماكن هالمطاعم على الخريطة,أبحث عن مطعم جيد  للمشويات  هل يمكنك أن تشير إلى أماكن تلك المطاعم على الخريطة ,أدور على مطعم زين حق المشاوي تقدر تدلني على أماكن هالمطاعم على الخريطة,أبحث عن مطعم جيد  للمشويات  هل يمكنك أن تشير إلى أماكن تلك المطاعم على الخريطة ,ادور علا مطعم زين حق المشاوي تقدر تدلني علا اماكن هالمطاعم علا الخريطه,ابحث عن مطعم جيد  للمشويات  هل يمكنك ان تشير الا اماكن تلك المطاعم علا الخريطه 
22,42,corpus-6-train,MSA,أنت تقوم بكسرها ، فأنت الذي اشتريتها .,إنت تكسرها، إنت اللي شريتها.,إذا إنت كسرتها، إنت اللي شريتها.,H,H,إذا إنت كسرتها إنت اللي شريتها,أنت تقوم بكسرها  فأنت الذي اشتريتها ,إذا إنت كسرتها إنت اللي شريتها,أنت تقوم بكسرها  فأنت الذي اشتريتها ,اذا انت كسرتها انت اللي شريتها,انت تقوم بكسرها  فانت الذي اشتريتها 
23,46,corpus-6-train,MSA,سوف أخبرها بأن تتصل بك بمجرد أن تصل .,راح أقول لها تدق عليك أول ما توصل.,راح أقول لها تدق عليك أول ما توصل.,H,H,راح أقول لها تدق عليك أول ما توصل,سوف أخبرها بأن تتصل بك بمجرد أن تصل ,راح أقول لها تدق عليك أول ما توصل,سوف أخبرها بأن تتصل بك بمجرد أن تصل ,راح اقول لها تدق عليك اول ما توصل,سوف اخبرها بان تتصل بك بمجرد ان تصل 
24,50,corpus-6-test-corpus-26-train,MSA,هل تحب أن تضع قشدة وسكر في قهوتك ؟,تحب تحط قشطة وسكر بقهوتك؟,تحب تحط كريمه وسكر بقهوتك؟,H,H,تحب تحط كريمه وسكر بقهوتك,هل تحب أن تضع قشدة وسكر في قهوتك ,تحب تحط كريمه وسكر بقهوتك,هل تحب أن تضع قشدة وسكر في قهوتك ,تحب تحط كريمه وسكر بقهوتك,هل تحب ان تضع قشده وسكر في قهوتك 
25,51,corpus-6-train,MSA,لقد أصيبت إصابة بالغة .,إنجرحت جرح وايد قوي.,إنجرحت جرح وايد قوي.,H,H,إنجرحت جرح وايد قوي,لقد أصيبت إصابة بالغة ,إنجرحت جرح وايد قوي,لقد أصيبت إصابة بالغة ,انجرحت جرح وايد قوي,لقد اصيبت اصابه بالغه 
26,52,corpus-6-train,MSA,أريد قداحة .,أبي ولاعة.,أبي ولاعة.,H,H,أبي ولاعة,أريد قداحة ,أبي ولاعة,أريد قداحة ,ابي ولاعه,اريد قداحه 
27,53,corpus-6-train,MSA,هل لدى هذا الفندق تجهيزات للمؤتمرات ؟,عندهم بالفندق هذا تجهيزات حق المؤتمرات؟,عندهم بالفندق هذا تجهيزات حق المؤتمرات؟,H,H,عندهم بالفندق هذا تجهيزات حق المؤتمرات,هل لدى هذا الفندق تجهيزات للمؤتمرات ,عندهم بالفندق هذا تجهيزات حق المؤتمرات,هل لدى هذا الفندق تجهيزات للمؤتمرات ,عندهم بالفندق هذا تجهيزات حق المءتمرات,هل لدا هذا الفندق تجهيزات للمءتمرات 
28,56,corpus-6-train,MSA,هل من المناسب أن نتناول وجبة خفيفة ؟,شنو رايكم ناخذ لنا تصبيرة؟,شنو رايكم ناخذ لنا تصبيرة؟,H,H,شنو رايكم ناخذ لنا تصبيرة,هل من المناسب أن نتناول وجبة خفيفة ,شنو رايكم ناخذ لنا تصبيرة,هل من المناسب أن نتناول وجبة خفيفة ,شنو رايكم ناخذ لنا تصبيره,هل من المناسب ان نتناول وجبه خفيفه 
29,57,corpus-6-train,MSA,أنا أتصل من المطار . سأصل هناك في حوالي الساعة الرابعة .,أنا داق من المطار. بوصل هناك حوالي الساعة أربع.,أنا داق من المطار. بوصل هناك حوالي الساعة أربع.,H,H,أنا داق من المطار بوصل هناك حوالي الساعة أربع,أنا أتصل من المطار  سأصل هناك في حوالي الساعة الرابعة ,أنا داق من المطار بوصل هناك حوالي الساعة أربع,أنا أتصل من المطار  سأصل هناك في حوالي الساعة الرابعة ,انا داق من المطار بوصل هناك حوالي الساعه اربع,انا اتصل من المطار  ساصل هناك في حوالي الساعه الرابعه 
30,62,corpus-6-train,MSA,أين سأغير إلى شيكاغو .,وين ببدل طيارتي عشان أروح شيكاغو؟,وين راح ابدل طيارتي عشان أروح شيكاغو؟,H,H,وين راح ابدل طيارتي عشان أروح شيكاغو,أين سأغير إلى شيكاغو ,وين راح ابدل طيارتي عشان أروح شيكاغو,أين سأغير إلى شيكاغو ,وين راح ابدل طيارتي عشان اروح شيكاغو,اين ساغير الا شيكاغو 
31,63,corpus-6-train,MSA,كم تكلفة إرسال خطاب مسجل إلى فرنسا ؟,بچم إرسال رسالة مسجلة لفرنسا؟,بچم إرسال رسالة مسجلة لفرنسا؟,H,H,بچم إرسال رسالة مسجلة لفرنسا,كم تكلفة إرسال خطاب مسجل إلى فرنسا ,بچم إرسال رسالة مسجلة لفرنسا,كم تكلفة إرسال خطاب مسجل إلى فرنسا ,بچم ارسال رساله مسجله لفرنسا,كم تكلفه ارسال خطاب مسجل الا فرنسا 
32,64,corpus-6-test-corpus-26-train,MSA,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟,تقدرون تصرفون لي الشيك اللي بقيمة ميتين دولار؟,تقدرون تصرفون لي الشيك اللي بقيمة ميتين دولار؟,H,H,تقدرون تصرفون لي الشيك اللي بقيمة ميتين دولار,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ,تقدرون تصرفون لي الشيك اللي بقيمة ميتين دولار,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ,تقدرون تصرفون لي الشيك اللي بقيمه ميتين دولار,هل يمكنكم صرف الشيك ذو الماءتي دولار الخاص بي 
33,68,corpus-6-train,MSA,إن القيادة على الجانب الأيمن من الطريق مختلفة تماماً بالفعل .,السياقة على اليمين من الشارع تختلف تماماً.,السياقة على اليمين من الشارع تختلف تماماً.,H,H,السياقة على اليمين من الشارع تختلف تماما,إن القيادة على الجانب الأيمن من الطريق مختلفة تماما بالفعل ,السياقة على اليمين من الشارع تختلف تماما,إن القيادة على الجانب الأيمن من الطريق مختلفة تماما بالفعل ,السياقه علا اليمين من الشارع تختلف تماما,ان القياده علا الجانب الايمن من الطريق مختلفه تماما بالفعل 
34,69,corpus-6-train,MSA,كان الممثل رائعا بالفعل .,الممثل كان رهيب صدق.,الممثل كان صج رهيب.,H,H,الممثل كان صج رهيب,كان الممثل رائعا بالفعل ,الممثل كان صج رهيب,كان الممثل رائعا بالفعل ,الممثل كان صج رهيب,كان الممثل راءعا بالفعل 
35,72,corpus-6-train,MSA,أين الجانب غير الخيالي في شخصيتك ؟,وين الجانب الواقعي في شخصيتك؟,وين الجانب الواقعي في شخصيتك؟,H,H,وين الجانب الواقعي في شخصيتك,أين الجانب غير الخيالي في شخصيتك ,وين الجانب الواقعي في شخصيتك,أين الجانب غير الخيالي في شخصيتك ,وين الجانب الواقعي في شخصيتك,اين الجانب غير الخيالي في شخصيتك 
36,74,corpus-6-test-corpus-26-train,MSA,إذا حدث ذلك ، من فضلك أتصل بي .,إذا صار هالشي، الله يخليك دق علي.,إذا صار هالشي، الله يخليك دق علي.,H,H,إذا صار هالشي الله يخليك دق علي,إذا حدث ذلك  من فضلك أتصل بي ,إذا صار هالشي الله يخليك دق علي,إذا حدث ذلك  من فضلك أتصل بي ,اذا صار هالشي الله يخليك دق علي,اذا حدث ذلك  من فضلك اتصل بي 
37,78,corpus-6-dev,MSA,هل يمكن أن تغير مقعدي من فضلك ؟,ممكن تغيّر مكاني لو سمحت؟,ممكن تغيّر مكاني لو سمحت؟,H,H,ممكن تغير مكاني لو سمحت,هل يمكن أن تغير مقعدي من فضلك ,ممكن تغير مكاني لو سمحت,هل يمكن أن تغير مقعدي من فضلك ,ممكن تغير مكاني لو سمحت,هل يمكن ان تغير مقعدي من فضلك 
38,79,corpus-6-train,MSA,هل هناك ضمانا ؟,فيه ضمان؟,فيه ضمان؟,H,H,فيه ضمان,هل هناك ضمانا ,فيه ضمان,هل هناك ضمانا ,فيه ضمان,هل هناك ضمانا 
39,83,corpus-6-train,MSA,"عفوا , أنا سأعتني بالكلب .",عذراً، أنا بأهتم بالچلب.,عفوا ، أنا راح أهتم بالچلب.,H,H,عفوا  أنا راح أهتم بالچلب,عفوا  أنا سأعتني بالكلب ,عفوا  أنا راح أهتم بالچلب,عفوا  أنا سأعتني بالكلب ,عفوا  انا راح اهتم بالچلب,عفوا  انا ساعتني بالكلب 
40,84,corpus-6-train,MSA,أريد تذكرتين للقطط ليوم الخميس .,أبي تذكرتين حق الشيبس ليوم الخميس.,أبي تذكرتين حق القطاوه حق يوم الخميس.,H,H,أبي تذكرتين حق القطاوه حق يوم الخميس,أريد تذكرتين للقطط ليوم الخميس ,أبي تذكرتين حق القطاوه حق يوم الخميس,أريد تذكرتين للقطط ليوم الخميس ,ابي تذكرتين حق القطاوه حق يوم الخميس,اريد تذكرتين للقطط ليوم الخميس 
41,86,corpus-6-test-corpus-26-train,MSA,أين المقهى ؟,وين الكوفي؟,وين القهوه؟,H,H,وين القهوه,أين المقهى ,وين القهوه,أين المقهى ,وين القهوه,اين المقها 
42,87,corpus-6-test-corpus-26-train,MSA,أريد جاكيت للأطفال .,أبي جاكيت للأطفال.,أبي جاكيت للأطفال.,H,H,أبي جاكيت للأطفال,أريد جاكيت للأطفال ,أبي جاكيت للأطفال,أريد جاكيت للأطفال ,ابي جاكيت للاطفال,اريد جاكيت للاطفال 
43,89,corpus-6-dev,MSA,اسمك مرة ثانية ؟,اسمك مرة ثانية؟,اسمك مرة ثانية؟,H,H,اسمك مرة ثانية,اسمك مرة ثانية ,اسمك مرة ثانية,اسمك مرة ثانية ,اسمك مره ثانيه,اسمك مره ثانيه 
44,90,corpus-6-train,MSA,هل مستر برون هناك ؟,هل مستر برون موجود هني؟,جاسم موجود هني؟,H,H,جاسم موجود هني,هل مستر برون هناك ,جاسم موجود هني,هل مستر برون هناك ,جاسم موجود هني,هل مستر برون هناك 
45,91,corpus-6-test-corpus-26-train,MSA,حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .,اوكي. تكلف خمسة وثمانين دولار بالشحن العادي وثلاثة دولار بالتوصيل الخاص.,اوكي. تكلف خمسة وثمانين دولار بالشحن العادي وثلاث دولارات بالتوصيل الخاص.,H,H,اوكي تكلف خمسة وثمانين دولار بالشحن العادي وثلاث دولارات بالتوصيل الخاص,حسنا  إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص ,اوكي تكلف خمسة وثمانين دولار بالشحن العادي وثلاث دولارات بالتوصيل الخاص,حسنا  إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص ,اوكي تكلف خمسه وثمانين دولار بالشحن العادي وثلاث دولارات بالتوصيل الخاص,حسنا  انها تتكلف خمسه وثمانون دولارا في البريد العادي وثلاثه دولارات في التوصيل الخاص 
46,92,corpus-6-train,MSA,هل يمكن أن أؤجر قارب ليوم ؟,ممكن أجر قارب ليوم؟,ممكن أجر قارب حق يوم واحد؟,H,H,ممكن أجر قارب حق يوم واحد,هل يمكن أن أؤجر قارب ليوم ,ممكن أجر قارب حق يوم واحد,هل يمكن أن أؤجر قارب ليوم ,ممكن اجر قارب حق يوم واحد,هل يمكن ان اءجر قارب ليوم 
47,93,corpus-6-train,MSA,عند أي نافذة يمكن أن أقوم بعمل الحجز ؟,عند أي شباك أقدر أسوي الحجز؟,عند أي شباك أقدر أسوي الحجز؟,H,H,عند أي شباك أقدر أسوي الحجز,عند أي نافذة يمكن أن أقوم بعمل الحجز ,عند أي شباك أقدر أسوي الحجز,عند أي نافذة يمكن أن أقوم بعمل الحجز ,عند اي شباك اقدر اسوي الحجز,عند اي نافذه يمكن ان اقوم بعمل الحجز 
48,94,corpus-6-train,MSA,ما هذا ؟,شنو هذا؟,شنو هذا؟,H,H,شنو هذا,ما هذا ,شنو هذا,ما هذا ,شنو هذا,ما هذا 
49,96,corpus-6-train,MSA,هل يمكنك أن تخبريني كيف أستطيع أن أصل إلى الأوبرا ؟,ممكن تقوليلي شلون أقدر أوصل للأوبرا؟,ممكن تقوليلي شلون أقدر أوصل حق الأوبرا؟,H,H,ممكن تقوليلي شلون أقدر أوصل حق الأوبرا,هل يمكنك أن تخبريني كيف أستطيع أن أصل إلى الأوبرا ,ممكن تقوليلي شلون أقدر أوصل حق الأوبرا,هل يمكنك أن تخبريني كيف أستطيع أن أصل إلى الأوبرا ,ممكن تقوليلي شلون اقدر اوصل حق الاوبرا,هل يمكنك ان تخبريني كيف استطيع ان اصل الا الاوبرا 
50,97,corpus-6-train,MSA,ألم تكن مخمور بدرجة كبيرة بعض الشيء في الليلة الماضية يا عزيزي ؟,مو كنك كنت شارب وايد أمس يا حبيبي؟,مو جنك كنت شارب وايد أمس يا حبيبي؟,H,H,مو جنك كنت شارب وايد أمس يا حبيبي,ألم تكن مخمور بدرجة كبيرة بعض الشيء في الليلة الماضية يا عزيزي ,مو جنك كنت شارب وايد أمس يا حبيبي,ألم تكن مخمور بدرجة كبيرة بعض الشيء في الليلة الماضية يا عزيزي ,مو جنك كنت شارب وايد امس يا حبيبي,الم تكن مخمور بدرجه كبيره بعض الشيء في الليله الماضيه يا عزيزي 
51,98,corpus-6-train,MSA,من فضلك اتبع التعليمات الصادرة من موظفينا .,لو سمحت اتبع التعليمات اللي يعطيك إياها موظفينا.,لو سمحت اتبع التعليمات اللي يعطيك إياها موظفينا.,H,H,لو سمحت اتبع التعليمات اللي يعطيك إياها موظفينا,من فضلك اتبع التعليمات الصادرة من موظفينا ,لو سمحت اتبع التعليمات اللي يعطيك إياها موظفينا,من فضلك اتبع التعليمات الصادرة من موظفينا ,لو سمحت اتبع التعليمات اللي يعطيك اياها موظفينا,من فضلك اتبع التعليمات الصادره من موظفينا 
52,100,corpus-6-dev,MSA,هل يوجد هنا محل متعدد الأقسام بالقرب من هنا .,فيه مجمع قريب من هني؟,فيه مجمع قريب من هني؟,H,H,فيه مجمع قريب من هني,هل يوجد هنا محل متعدد الأقسام بالقرب من هنا ,فيه مجمع قريب من هني,هل يوجد هنا محل متعدد الأقسام بالقرب من هنا ,فيه مجمع قريب من هني,هل يوجد هنا محل متعدد الاقسام بالقرب من هنا 
53,102,corpus-6-train,MSA,املأ خزان الوقود من فضلك .,عبي التانكي لو سمحت.,عبي التانكي لو سمحت.,H,H,عبي التانكي لو سمحت,املأ خزان الوقود من فضلك ,عبي التانكي لو سمحت,املأ خزان الوقود من فضلك ,عبي التانكي لو سمحت,املا خزان الوقود من فضلك 
54,103,corpus-6-train,MSA,هل يوجد غرفة بسعر أرخص ؟,في غرفة بسعر أرخص؟,في غرفة بسعر أرخص؟,H,H,في غرفة بسعر أرخص,هل يوجد غرفة بسعر أرخص ,في غرفة بسعر أرخص,هل يوجد غرفة بسعر أرخص ,في غرفه بسعر ارخص,هل يوجد غرفه بسعر ارخص 
55,104,corpus-6-train,MSA,أفضل سيارة بها نظام إلي لنقل الحركة .,أفضل سيارة فيها جير أوتوماتيك.,أفضل سيارة فيها جير أوتوماتيك.,H,H,أفضل سيارة فيها جير أوتوماتيك,أفضل سيارة بها نظام إلي لنقل الحركة ,أفضل سيارة فيها جير أوتوماتيك,أفضل سيارة بها نظام إلي لنقل الحركة ,افضل سياره فيها جير اوتوماتيك,افضل سياره بها نظام الي لنقل الحركه 
56,105,corpus-6-train,MSA,سأقيم في مسكن الطلبة الخاص بجامعة هارفارد .,باقعد بسكن الطلبة مال جامعة هارفارد.,بقعد بسكن الطلبة مال جامعة هارفارد.,H,H,بقعد بسكن الطلبة مال جامعة هارفارد,سأقيم في مسكن الطلبة الخاص بجامعة هارفارد ,بقعد بسكن الطلبة مال جامعة هارفارد,سأقيم في مسكن الطلبة الخاص بجامعة هارفارد ,بقعد بسكن الطلبه مال جامعه هارفارد,ساقيم في مسكن الطلبه الخاص بجامعه هارفارد 
57,106,corpus-6-train,MSA,ما هو سعر الصرف اليوم ؟,بجم سعر الصرف اليوم؟,بجم سعر الصرف اليوم؟,H,H,بجم سعر الصرف اليوم,ما هو سعر الصرف اليوم ,بجم سعر الصرف اليوم,ما هو سعر الصرف اليوم ,بجم سعر الصرف اليوم,ما هو سعر الصرف اليوم 
58,108,corpus-6-train,MSA,أعاني بشكل مزمن من الربو .,أعاني من الربو من زمان.,أعاني من الربو من زمان.,H,H,أعاني من الربو من زمان,أعاني بشكل مزمن من الربو ,أعاني من الربو من زمان,أعاني بشكل مزمن من الربو ,اعاني من الربو من زمان,اعاني بشكل مزمن من الربو 
59,109,corpus-6-train,MSA,معي حوالي ثلاثة آلاف دولاراً .,عندي حوالي ثلاث آلاف دولار.,عندي حوالي ثلاث آلاف دولار.,H,H,عندي حوالي ثلاث آلاف دولار,معي حوالي ثلاثة آلاف دولارا ,عندي حوالي ثلاث آلاف دولار,معي حوالي ثلاثة آلاف دولارا ,عندي حوالي ثلاث الاف دولار,معي حوالي ثلاثه الاف دولارا 
